,Amplitude
1118,32.0
1119,36.0
1120,35.0
1121,31.0
1122,28.0
1123,27.0
1124,29.0
1125,32.0
1126,35.0
1127,36.0
1128,27.0
1129,27.0
1130,27.0
1131,27.0
1132,25.0
1133,31.0
1134,35.0
1135,35.0
1136,32.0
1137,24.0
1138,25.0
1139,25.0
1140,21.0
1141,21.0
1142,25.0
1143,30.0
1144,23.0
1145,24.0
1146,25.0
1147,27.0
1148,30.0
1149,29.0
1150,25.0
1151,28.0
1152,27.0
1153,25.0
1154,25.0
1155,25.0
1156,26.0
1157,31.0
1158,35.0
1159,34.0
1160,31.0
1161,30.0
1162,29.0
1163,26.0
1164,23.0
1165,27.0
1166,24.0
1167,24.0
1168,26.0
1169,29.0
1170,32.0
1171,30.0
1172,30.0
1173,31.0
1174,27.0
1175,26.0
1176,30.0
1177,28.0
1178,26.0
1179,24.0
1180,20.0
1181,22.0
1182,26.0
1183,26.0
1184,25.0
1185,27.0
1186,29.0
1187,26.0
1188,29.0
1189,27.0
1190,22.0
1191,24.0
1192,24.0
1193,24.0
1194,24.0
1195,24.0
1196,27.0
1197,25.0
1198,27.0
1199,27.0
1200,20.0
1201,20.0
1202,28.0
1203,30.0
1204,27.0
1205,29.0
1206,29.0
1207,22.0
1208,24.0
1209,28.0
1210,25.0
1211,27.0
1212,26.0
1213,28.0
1214,30.0
1215,31.0
1216,33.0
1217,31.0
1218,26.0
1219,25.0
1220,24.0
1221,26.0
1222,25.0
1223,24.0
1224,26.0
1225,28.0
1226,30.0
1227,28.0
1228,28.0
1229,31.0
1230,26.0
1231,27.0
1232,27.0
1233,25.0
1234,20.0
1235,22.0
1236,23.0
1237,24.0
1238,32.0
1239,35.0
1240,32.0
1241,30.0
1242,32.0
1243,24.0
1244,19.0
1245,27.0
1246,28.0
1247,26.0
1248,25.0
1249,26.0
1250,29.0
1251,34.0
1252,33.0
1253,31.0
1254,33.0
1255,29.0
1256,27.0
1257,28.0
1258,26.0
1259,27.0
1260,28.0
1261,28.0
1262,30.0
1263,27.0
1264,26.0
1265,26.0
1266,28.0
1267,27.0
1268,25.0
1269,26.0
1270,27.0
1271,27.0
1272,30.0
1273,31.0
1274,29.0
1275,31.0
1276,32.0
1277,29.0
1278,31.0
1279,33.0
1280,30.0
1281,27.0
1282,26.0
1283,24.0
1284,25.0
1285,25.0
1286,25.0
1287,26.0
1288,26.0
1289,29.0
1290,29.0
1291,27.0
1292,25.0
1293,28.0
1294,33.0
1295,29.0
1296,28.0
1297,29.0
1298,28.0
1299,27.0
1300,29.0
1301,29.0
1302,26.0
1303,25.0
1304,29.0
1305,25.0
1306,25.0
1307,24.0
1308,26.0
1309,26.0
1310,25.0
1311,22.0
1312,27.0
1313,31.0
1314,28.0
1315,29.0
1316,29.0
1317,30.0
1318,29.0
1319,30.0
1320,27.0
1321,28.0
1322,26.0
1323,27.0
1324,28.0
1325,27.0
1326,26.0
1327,27.0
1328,24.0
1329,26.0
1330,31.0
1331,28.0
1332,22.0
1333,21.0
1334,26.0
1335,29.0
1336,32.0
1337,30.0
1338,26.0
1339,22.0
1340,26.0
1341,23.0
1342,24.0
1343,27.0
1344,25.0
1345,27.0
1346,29.0
1347,28.0
1348,19.0
1349,22.0
1350,27.0
1351,31.0
1352,28.0
1353,27.0
1354,30.0
1355,30.0
1356,25.0
1357,20.0
1358,19.0
1359,23.0
1360,28.0
1361,29.0
1362,32.0
1363,32.0
1364,31.0
1365,29.0
1366,25.0
1367,25.0
1368,27.0
1369,29.0
1370,31.0
1371,30.0
1372,28.0
1373,33.0
1374,32.0
1375,32.0
1376,29.0
1377,27.0
1378,24.0
1379,26.0
1380,31.0
1381,30.0
1382,24.0
1383,21.0
1384,20.0
1385,23.0
1386,20.0
1387,17.0
1388,16.0
1389,14.0
1390,23.0
1391,27.0
1392,24.0
1393,21.0
1394,23.0
1395,22.0
1396,16.0
1397,16.0
1398,18.0
1399,16.0
1400,16.0
1401,20.0
1402,19.0
1403,24.0
1404,25.0
1405,26.0
1406,25.0
1407,22.0
1408,24.0
1409,26.0
1410,27.0
1411,28.0
1412,28.0
1413,26.0
1414,27.0
1415,27.0
1416,30.0
1417,32.0
1418,31.0
1419,29.0
1420,26.0
1421,22.0
1422,25.0
1423,27.0
1424,27.0
1425,25.0
1426,28.0
1427,26.0
1428,26.0
1429,26.0
1430,25.0
1431,28.0
1432,35.0
1433,38.0
1434,31.0
1435,26.0
1436,29.0
1437,29.0
1438,27.0
1439,26.0
1440,25.0
1441,29.0
1442,31.0
1443,29.0
1444,31.0
1445,32.0
1446,30.0
1447,29.0
1448,31.0
1449,34.0
1450,31.0
1451,29.0
1452,24.0
1453,25.0
1454,25.0
1455,24.0
1456,26.0
1457,26.0
1458,24.0
1459,23.0
1460,24.0
1461,26.0
1462,27.0
1463,31.0
1464,29.0
1465,25.0
1466,21.0
1467,21.0
1468,24.0
1469,28.0
1470,31.0
1471,36.0
1472,34.0
1473,31.0
1474,28.0
1475,25.0
1476,23.0
1477,25.0
1478,29.0
1479,32.0
1480,29.0
1481,25.0
1482,25.0
1483,27.0
1484,28.0
1485,31.0
1486,33.0
1487,33.0
1488,29.0
1489,25.0
1490,28.0
1491,31.0
1492,35.0
1493,34.0
1494,32.0
1495,30.0
1496,29.0
1497,26.0
1498,27.0
1499,32.0
1500,32.0
1501,30.0
1502,31.0
1503,30.0
1504,29.0
1505,25.0
1506,27.0
1507,29.0
1508,32.0
1509,38.0
1510,35.0
1511,32.0
1512,28.0
1513,28.0
1514,28.0
1515,27.0
1516,27.0
1517,31.0
1518,31.0
1519,31.0
1520,31.0
1521,33.0
1522,34.0
1523,32.0
1524,31.0
1525,32.0
1526,28.0
1527,29.0
1528,38.0
1529,38.0
1530,38.0
1531,30.0
1532,30.0
1533,33.0
1534,33.0
1535,29.0
1536,29.0
1537,30.0
1538,32.0
1539,36.0
1540,34.0
1541,32.0
1542,33.0
1543,31.0
1544,33.0
1545,37.0
1546,34.0
1547,34.0
1548,35.0
1549,31.0
1550,31.0
1551,36.0
1552,35.0
1553,32.0
1554,30.0
1555,31.0
1556,27.0
1557,26.0
1558,32.0
1559,35.0
1560,34.0
1561,33.0
1562,35.0
1563,30.0
1564,32.0
1565,35.0
1566,38.0
1567,36.0
1568,30.0
1569,28.0
1570,27.0
1571,28.0
1572,29.0
1573,29.0
1574,26.0
1575,29.0
1576,31.0
1577,29.0
1578,26.0
1579,25.0
1580,30.0
1581,32.0
1582,31.0
1583,32.0
1584,27.0
1585,30.0
1586,33.0
1587,34.0
1588,31.0
1589,27.0
1590,25.0
1591,26.0
1592,28.0
1593,33.0
1594,29.0
1595,29.0
1596,29.0
1597,27.0
1598,26.0
1599,31.0
1600,29.0
1601,26.0
1602,26.0
1603,27.0
1604,26.0
1605,27.0
1606,29.0
1607,31.0
1608,31.0
1609,29.0
1610,26.0
1611,24.0
1612,26.0
1613,25.0
1614,25.0
1615,27.0
1616,27.0
1617,26.0
1618,23.0
1619,24.0
1620,28.0
1621,31.0
1622,26.0
1623,24.0
1624,22.0
1625,26.0
1626,30.0
1627,28.0
1628,26.0
1629,27.0
1630,27.0
1631,29.0
1632,31.0
1633,28.0
1634,29.0
1635,28.0
1636,27.0
1637,26.0
1638,26.0
1639,24.0
1640,21.0
1641,25.0
1642,27.0
1643,30.0
1644,30.0
1645,31.0
1646,32.0
1647,34.0
1648,31.0
1649,29.0
1650,25.0
1651,21.0
1652,28.0
1653,29.0
1654,27.0
1655,25.0
1656,23.0
1657,25.0
1658,30.0
1659,29.0
1660,27.0
1661,27.0
1662,24.0
1663,23.0
1664,23.0
1665,26.0
1666,26.0
1667,28.0
1668,27.0
1669,28.0
1670,28.0
1671,26.0
1672,28.0
1673,30.0
1674,29.0
1675,25.0
1676,30.0
1677,30.0
1678,23.0
1679,23.0
1680,26.0
1681,27.0
1682,26.0
1683,29.0
1684,26.0
1685,25.0
1686,26.0
1687,23.0
1688,25.0
1689,21.0
1690,28.0
1691,30.0
1692,27.0
1693,28.0
1694,28.0
1695,28.0
1696,30.0
1697,31.0
1698,32.0
1699,32.0
1700,31.0
1701,31.0
1702,32.0
1703,35.0
1704,32.0
1705,27.0
1706,25.0
1707,26.0
1708,27.0
1709,26.0
1710,27.0
1711,25.0
1712,29.0
1713,28.0
1714,26.0
1715,28.0
1716,28.0
1717,31.0
1718,29.0
1719,28.0
1720,31.0
1721,32.0
1722,28.0
1723,27.0
1724,30.0
1725,30.0
1726,31.0
1727,31.0
1728,27.0
1729,28.0
1730,30.0
1731,30.0
1732,29.0
1733,31.0
1734,32.0
1735,28.0
1736,27.0
1737,26.0
1738,26.0
1739,28.0
1740,28.0
1741,27.0
1742,26.0
1743,26.0
1744,25.0
1745,24.0
1746,24.0
1747,21.0
1748,21.0
1749,22.0
1750,20.0
1751,25.0
1752,31.0
1753,30.0
1754,25.0
1755,28.0
1756,27.0
1757,26.0
1758,30.0
1759,27.0
1760,22.0
1761,27.0
1762,28.0
1763,32.0
1764,35.0
1765,34.0
1766,30.0
1767,31.0
1768,29.0
1769,23.0
1770,21.0
1771,23.0
1772,21.0
1773,20.0
1774,26.0
1775,23.0
1776,26.0
1777,30.0
1778,33.0
1779,32.0
1780,30.0
1781,30.0
1782,29.0
1783,23.0
1784,28.0
1785,32.0
1786,29.0
1787,26.0
1788,24.0
1789,25.0
1790,26.0
1791,26.0
1792,27.0
1793,29.0
1794,24.0
1795,23.0
1796,24.0
1797,27.0
1798,29.0
1799,30.0
1800,25.0
1801,26.0
1802,27.0
1803,27.0
1804,29.0
1805,27.0
1806,24.0
1807,26.0
1808,29.0
1809,27.0
1810,28.0
1811,22.0
1812,25.0
1813,26.0
1814,25.0
1815,26.0
1816,25.0
1817,23.0
1818,25.0
1819,28.0
1820,32.0
1821,36.0
1822,37.0
1823,30.0
1824,27.0
1825,27.0
1826,34.0
1827,32.0
1828,28.0
1829,28.0
1830,29.0
1831,27.0
1832,27.0
1833,26.0
1834,31.0
1835,30.0
1836,24.0
1837,21.0
1838,18.0
1839,18.0
1840,20.0
1841,20.0
1842,25.0
1843,25.0
1844,22.0
1845,22.0
1846,20.0
1847,24.0
1848,29.0
1849,26.0
1850,21.0
1851,20.0
1852,23.0
1853,24.0
1854,25.0
1855,23.0
1856,22.0
1857,20.0
1858,16.0
1859,19.0
1860,23.0
1861,25.0
1862,31.0
1863,35.0
1864,32.0
1865,29.0
1866,26.0
1867,27.0
1868,28.0
1869,28.0
1870,30.0
1871,32.0
1872,30.0
1873,29.0
1874,26.0
1875,26.0
1876,26.0
1877,28.0
1878,27.0
1879,25.0
1880,26.0
1881,22.0
1882,25.0
1883,28.0
1884,29.0
1885,29.0
1886,29.0
1887,30.0
1888,29.0
1889,26.0
1890,22.0
1891,27.0
1892,30.0
1893,29.0
1894,21.0
1895,20.0
1896,28.0
1897,29.0
1898,32.0
1899,29.0
1900,27.0
1901,25.0
1902,28.0
1903,29.0
1904,31.0
1905,29.0
1906,29.0
1907,30.0
1908,27.0
1909,26.0
1910,28.0
1911,27.0
1912,23.0
1913,34.0
1914,39.0
1915,37.0
1916,34.0
1917,31.0
1918,31.0
1919,30.0
1920,29.0
1921,26.0
1922,28.0
1923,27.0
1924,21.0
1925,21.0
1926,23.0
1927,29.0
1928,34.0
1929,35.0
1930,34.0
1931,33.0
1932,31.0
1933,32.0
1934,35.0
1935,33.0
1936,30.0
1937,26.0
1938,23.0
1939,23.0
1940,23.0
1941,25.0
1942,27.0
1943,29.0
1944,31.0
1945,31.0
1946,30.0
1947,30.0
1948,31.0
1949,31.0
1950,31.0
1951,31.0
1952,31.0
1953,29.0
1954,30.0
1955,30.0
1956,28.0
1957,31.0
1958,31.0
1959,32.0
1960,34.0
1961,32.0
1962,29.0
1963,27.0
1964,25.0
1965,26.0
1966,27.0
1967,29.0
1968,33.0
1969,34.0
1970,37.0
1971,37.0
1972,38.0
1973,37.0
1974,38.0
1975,39.0
1976,36.0
1977,34.0
1978,29.0
1979,29.0
1980,26.0
1981,24.0
1982,24.0
1983,34.0
1984,33.0
1985,33.0
1986,34.0
1987,36.0
1988,37.0
1989,36.0
1990,33.0
1991,33.0
1992,28.0
1993,31.0
1994,36.0
1995,34.0
1996,35.0
1997,35.0
1998,34.0
1999,33.0
2000,31.0
2001,27.0
2002,31.0
2003,32.0
2004,32.0
2005,31.0
2006,32.0
2007,35.0
2008,36.0
2009,36.0
2010,36.0
2011,36.0
2012,37.0
2013,40.0
2014,35.0
2015,30.0
2016,30.0
2017,29.0
2018,30.0
2019,28.0
2020,26.0
2021,24.0
2022,22.0
2023,22.0
2024,27.0
2025,35.0
2026,36.0
2027,34.0
2028,37.0
2029,36.0
2030,31.0
2031,33.0
2032,33.0
2033,34.0
2034,34.0
2035,34.0
2036,34.0
2037,30.0
2038,31.0
2039,25.0
2040,20.0
2041,25.0
2042,37.0
2043,36.0
2044,31.0
2045,29.0
2046,29.0
2047,31.0
2048,33.0
2049,29.0
2050,30.0
2051,32.0
2052,31.0
2053,31.0
2054,29.0
2055,27.0
2056,29.0
2057,26.0
2058,23.0
2059,24.0
2060,27.0
2061,27.0
2062,28.0
2063,27.0
2064,32.0
2065,32.0
2066,29.0
2067,28.0
2068,31.0
2069,32.0
2070,32.0
2071,27.0
2072,28.0
2073,28.0
2074,30.0
2075,31.0
2076,30.0
2077,29.0
2078,29.0
2079,26.0
2080,23.0
2081,22.0
2082,21.0
2083,19.0
2084,17.0
2085,22.0
2086,27.0
2087,23.0
2088,27.0
2089,38.0
2090,37.0
2091,34.0
2092,33.0
2093,34.0
2094,29.0
2095,27.0
2096,27.0
2097,25.0
2098,26.0
2099,26.0
2100,27.0
2101,29.0
2102,30.0
2103,32.0
2104,32.0
2105,30.0
2106,30.0
2107,34.0
2108,31.0
2109,29.0
2110,30.0
2111,26.0
2112,24.0
2113,25.0
2114,30.0
2115,30.0
2116,28.0
2117,28.0
2118,29.0
2119,29.0
2120,31.0
2121,33.0
2122,31.0
2123,29.0
2124,28.0
2125,26.0
2126,26.0
2127,24.0
2128,27.0
2129,28.0
2130,28.0
2131,28.0
2132,23.0
2133,23.0
2134,25.0
2135,27.0
2136,31.0
2137,28.0
